#    FY4 Quest大全, Ver = 4.0.1
#
# 格式：
#  杀『搜索名称』【ID】简单说明 @物品文件路径
#  寻『搜索名称』〖中文名称〗【ID】简单说明 @物品文件路径
# 注："搜索名称"不含颜色码，"中文名称"含ANSI颜色码

杀『阿菜哥』【waiter】exp<1K,沉香:3s,e菜根香 @/d/chenxiang/npc/cx_waiter.c
杀『阿草』【a cao】exp=2M, @/d/shanliu/npc/tianzong1.c
杀『湖上女』【nu】exp=50K, @/d/qianjin/npc/nu.c
杀『湖上水』【shui】exp=50K, @/d/qianjin/npc/shui.c
杀『湖上雪』【xue】exp=50K, @/d/qianjin/npc/xue.c
杀『湖上月』【yue】exp=120K, @/d/qianjin/npc/yue.c
杀『护山使者』【taoist guard】exp=50K, @/d/taoguan/npc/up_taoist.c
杀『护寺藏尼』【zang ni】exp=6K, @/d/guanwai/npc/lama2.c|lama3.c
杀『护寺喇嘛』【lama】exp=6K, @/d/guanwai/npc/lama.c
杀『护院』【castle guard】exp=10K, @/d/chuenyu/npc/guard.c
杀『花白凤』【hua baifeng】exp=1M, @/d/biancheng/npc/huabaifeng.c
杀『花大姑』【dagu】exp=2K, @/d/palace/npc/dagu.c
杀『花飞』【huafei】exp=200K, @/d/palace/npc/huafei.c
杀『花姑』【huagu】exp=5K, @/d/chenxiang/npc/flowerseller.c
杀『花寡妇』【hua gua fu】exp=200K, @/d/ghost/npc/hua.c
杀『花蝴蝶』【butterfly】, @/d/ghost/npc/butterfly.c
杀『花花道长』【hua hua】exp=7M, @/d/biancheng/npc/huahua.c
杀『花匠』【huajiang】exp<1K, @/d/qianjin/npc/huajiang.c
杀『花满城』【huaman】exp=350K, @/d/fy/npc/flowerseller.c
杀『花满天』【hua mantian】exp=3M, @/d/biancheng/npc/huamantian.c
杀『花四爷』【hua siye】exp=4M, @/d/libie/npc/huasiye.c
杀『花依人』【hua yiren】exp=3M, @/d/yinghe/npc/wa_guard4.c
杀『花茵』【hua yin】exp=2M, @/d/baiyun/npc/huayin.c
杀『华少坤』【hua shaokun】exp=10M, @/d/songshan/npc/huashaokun.c
杀『华真真』【hua zhenzhen】exp=10M, @/d/huashan/npc/zhenzhen.c
杀『黄姐』【huang jie】exp=50M, @/d/jinan/npc/huangjie.c
杀『黄骏马』【yellow horse】exp=3M, @/d/zangbei/npc/horse1.c
杀『黄麻子』【huang】exp=50M, @/d/yingou/npc/dice_thrower.c
杀『黄痞子』【pizi】exp=500K, @/d/fy/npc/huangpizi.c
杀『黄山的和尚』【huangshan monk】exp=3M,,少林.褂搭寮 @/d/shaolin/npc/other_monk7.c
杀『黄衣人』【yellowman】exp=150K, @/d/palace/npc/yellowman.c
杀『黄衣少女』【yellow girl】exp=500K, @/d/tieflag/npc/yelgirl.c
杀『黄衣卫』【guard】exp=50K, @/d/fy/npc/huangyi.c
杀『黄衣卫统领』【guard leader】exp=1M, @/d/fy/npc/huangyi2.c
杀『灰毛恶狼』【wolf】exp=20K, @/d/manglin/npc/wolf.c
杀『慧大师』【hui dashi】exp=4M, @/d/baiyun/npc/xian3.c
杀『活剥皮』【huo bopi】exp=5K, @/d/fugui/npc/huo.c
杀『活佛』【huofe】exp=1M, @/d/fy/npc/huofe.c
杀『伙计』【huoji】exp=1K, @/d/fy/npc/huoji.c
杀『火道人』【taoist huo】exp=700K, @/d/taoguan/npc/huo.c
杀『火凤』【red pheonix】exp=1M, @/d/yinghe/npc/pheonix.c
杀『火巨灵』【monster】exp=2M, @/d/zhaoze/npc/monster1.c
杀『火牢狱卒』【prison guard】exp=1M, @/d/cave/npc/guard1.c
杀『霍天青』【huo tianqing】exp=1M, @/d/shanxi/npc/tianqing.c
杀『霍休』【huo xiu】exp=35M, @/d/taishan/npc/manager.c
杀『霍英』【huo ying】exp=50K, @/d/huangshan/npc/huo.c
杀『货郎』【seller】exp=2M, @/d/shanxi/npc/xiaofan3.c
杀『箕水豹』【killer t】exp=1M, @/d/cave/npc/killer_t.c
杀『鸡冠』【jiguan】exp=5M, @/d/eren2/npc/star_c1.c
杀『鸡尾』【jiwei】exp=5M, @/d/eren2/npc/star_c3.c
杀『鸡胸』【jixiong】exp=5M, @/d/eren2/npc/star_c2.c
杀『鸡爪』【jizhua】exp=5M, @/d/eren2/npc/star_c4.c
杀『姬冰雁』【bingyan】exp=1M, @/d/guanyin/npc/ji.c
杀『姬夫人』【ji furen】exp=5M, @/d/sharen/npc/jifuren.c
杀『姬灵燕』【ji lingyan】exp=50K, @/d/fugui/npc/clothlady.c
杀『姬葬花』【ji zanghua】exp=50M, @/d/sharen/npc/zanghua.c
杀『疾风第』【骑】exp=30K, @/d/bat/npc/jifeng.c
杀『夹棍』【jia gun】exp=280K, @/d/fugui/npc/jiagun.c
杀『家奴』【jianu】exp=1K, @/d/qianjin/npc/jianu.c
杀『贾员外』【jia】exp=10K, @/d/chenxiang/npc/ywai.c
杀『贾员外的女儿』【jianu】exp<1K, @/d/chenxiang/npc/dau.c
杀『捡破烂的』【scavenger】exp<1K, @/d/taiping/npc/scavenger.c
杀『简二』【mr jian】exp=7M, @/d/shanxi/npc/xiucai.C
杀『剑痴』【jian chi】exp=3M, @/d/baiyun/npc/jianchi.c
杀『剑胆』【jian dan】exp=3M, @/d/baiyun/npc/jiandan.c
杀『剑儿』【jian er】exp=50K, @/d/shenshui/npc/jian.c
杀『剑狂』【jian kuang】exp=3M, @/d/baiyun/npc/jiankuang.c
杀『剑奴』【swords slave】exp=30M, @/d/baiyun/npc/jiannu.c
杀『剑心』【mar】exp=50M, @/d/baiyun/npc/wiz2.c
杀『姜仙公』【jiang xiangong】exp=800K, @/d/huashan/npc/xian.c
杀『将军』【jiang jun】exp=50K, @/d/ghost/npc/jiangjun.c
杀『江别鹤』【jiang biehe】exp=10M, @/d/eren2/npc/biehe.c
杀『江湖骗子』【pianzi】exp=9K, @/d/fy/npc/pianzi.c
杀『江湖中人』【ren】exp<1K, @/d/shaolin/npc/pupil.c
杀『江玉郎』【jiang yulang】exp=5M, @/d/eren2/npc/yulang.c
杀『江玉麟』【jiang yulin】exp=3M, @/d/yinghe/npc/wa_guard1.c
杀『江重威』【jiang】exp=1M, @/d/jinan/npc/jiang.c
杀『江左司徒』【jiangzuo situ】exp=1M, @/d/loulan/npc/se.c
杀『焦化』【jiao hua】exp=3M, @/d/guanyin/npc/jiao1.c
杀『焦劳』【jiao lao】exp=3M, @/d/guanyin/npc/jiao2.c
杀『焦老大』【jiao laoda】exp=4M, @/d/biancheng/npc/jiaolaoda.c
杀『焦七太爷』【jiaoqi】, @/d/jinan/npc/jiaoqi.c
杀『脚行僧』【bonze】exp=2K, @/d/huashan/npc/bonze.c
杀『角木蛟』【killer n】exp=1M, @/d/cave/npc/killer_n.c
杀『教父』【priest】exp<1K, @/d/fy/npc/priest.c
杀『金伯胜夷』【jin bo】exp=4M, @/d/songshan/npc/lama2.c
杀『金不畏』【buwei】exp=500K, @/d/qingping/npc/jin.c
杀『金大胡子』【jin huzi】exp=5M, @/d/shanliu/npc/jinhuzi.c
杀『金大帅』【jin dashuai】exp=1M, @/d/fugui/npc/dashuai.c
杀『金殿武士』【palace guard】exp=5M, @/d/fy/npc/jindian_guard.c
杀『金二』【guard】exp=100K, @/d/fugui/npc/guard2a.c
杀『金风』【guard】exp=30K, @/d/fugui/npc/guard1.c
杀『金凤凰』【jin fenghuang】exp=100K, @/d/huangshan/npc/jin.c
杀『金府门房』【jin guard】exp=500K, @/d/fugui/npc/guard.c
杀『金冠』【巨蟒】exp=1M, @/d/fugui/npc/bigsnake.c
杀『金护卫』【jin wei】exp=10K, @/d/daimiao/npc/jin.c
杀『金甲武士』【golden soldier】exp=4M, @/d/palace/npc/g_wushi.c
杀『金剑』【gold boy】exp=1M, @/d/wudang/npc/swordboy1.c
杀『金江』【guard】exp=30K, @/d/fugui/npc/guard1c.c
杀『金九龄』【jin】exp=1M, @/d/jinan/npc/jin9.c
杀『金牢狱卒』【prison guard】exp=2M, @/d/cave/npc/guard3.c
杀『金灵芝』【jin lingzhi】exp=50K, @/d/huashan/npc/jin.c
杀『金蚂蚁』【gold ant】exp=300K, @/d/fugui/npc/goldant.c
杀『金面人』【maskman】exp=5M, @/d/eren2/npc/maskman_g.c
杀『金山』【guard】exp=30K, @/d/fugui/npc/guard1b.c
杀『金狮子』【jin shizi】exp=300K, @/d/fugui/npc/jinshizi.c
杀『金丝雀』【sparrow】exp=1K, @/d/wanmei/npc/dodo.c
杀『金童』【jin tong】exp=900K, @/d/fy/npc/smileboy.c
杀『金无望』【jin wuwang】exp=1M, @/d/loulan/npc/cai.c
杀『金一』【guard】exp=100K, @/d/fugui/npc/guard2.c
杀『金鹰老人』【eagle man】exp=10M, @/d/huashan/npc/eagleman.c
杀『金雨』【guard】exp=30K, @/d/fugui/npc/guard1a.c
杀『金麟』【river guardian】exp=1M, @/d/yinghe/npc/gate_guard.c
杀『金麟异兽』【sand guardian】exp=1M, @/d/yinghe/npc/sand_guard.c
杀『紧那罗魔』【evil】exp=7M, @/d/taiping/npc/evil4.c
杀『紧那罗王』【jinnaluo】exp=1M, @/d/eren2/npc/bladespirit.c
杀『劲装少年』【guard】exp=50K, @/d/qingping/npc/young.c
杀『荆无命』【master jin】exp=2M, @/d/fy/npc/jinwuming.c
杀『井木犴』【killer f】exp=1M, @/d/cave/npc/killer_f.c
杀『镜魂』【mirror soul】exp=3M, @/d/guanyin/npc/mirror_soul.c
杀『酒肉和尚』【drink monk】exp=1M, @/d/tieflag/npc/drinkmonk.c
杀『巨花蟒』【huge serpent】exp=3M, @/d/chenxiang/npc/snake.c
杀『巨型犬』【wolf dog】exp=20K, @/d/chuenyu/npc/wolfdog.c
杀『巨鳄』【gator】exp=1M, @/d/eren2/npc/cor.c
杀『俊俏相公』【playman】exp=10K, @/d/fugui/npc/xianggong.c
杀『砍柴的道士』【daoshi】exp<1K,岱庙&泰山 @/d/daimiao/npc/daoshi.c|/d/songshan/npc/daoshi.c
杀『砍柴的和尚』【monk】exp<1K,兴国.名字随机 @/d/qianfo/npc/monk.c
杀『看坟老人』【oldman】exp=4M, @/d/biancheng/npc/oldman.c
杀『看风景的道姑』【wandering taoist】exp=21K, @/d/taoguan/npc/watcher_taoist.c
杀『看门卫兵』【gateman】exp=20K, @/d/fy/npc/gateman.c
杀『亢金龙』【killer o】exp=1M, @/d/cave/npc/killer_o.c
杀『考生』【student】exp=50K, @/d/fy/npc/student.c
杀『客栈老板』【lao ban】exp=5K, @/d/libie/npc/owner.c
杀『空粹』【shaolin monk】exp=120K,少林和尚 @/d/shaolin/npc/monk3.c
杀『空光』【shaolin monk】exp=10K, @/d/huangshan/npc/monk.c
杀『空国』【shaolin monk】exp=1k,少林和尚 @/d/shaolin/npc/clothmonk.c
杀『空寒』【shaolin monk】exp=10K, @/d/songshan/npc/monk.c
杀『空华』【shaolin monk】exp=120K,少林和尚 @/d/shaolin/npc/monk3.c
杀『空机』【shaolin monk】exp=1k,少林和尚 @/d/shaolin/npc/clothmonk.c
杀『空撅』【shaolin monk】exp=1k,少林和尚 @/d/shaolin/npc/clothmonk.c
杀『空林』【shaolin monk】exp=120K,少林和尚 @/d/shaolin/npc/monk3.c
杀『空拼』【shaolin monk】exp=1k,少林和尚 @/d/shaolin/npc/clothmonk.c
杀『空签』【shaolin monk】exp=120K,少林和尚 @/d/shaolin/npc/monk3.c
杀『空倾』【shaolin monk】exp=1k,少林和尚 @/d/shaolin/npc/clothmonk.c
杀『空全』【shaolin monk】exp=1k,少林和尚 @/d/shaolin/npc/clothmonk.c
杀『空慎』【master kong】exp=100K, @/d/shaolin/npc/master_23.c
杀『空新』【shaolin monk】exp=120k,少林和尚 @/d/shaolin/npc/clothmonk.c
杀『空阳』【shaolin monk】exp=120K,少林和尚 @/d/shaolin/npc/monk3.c
杀『空峙』【shaolin monk】exp=120K,少林和尚 @/d/shaolin/npc/monk3.c
杀『空弈』【shaolin monk】exp=120K,少林和尚 @/d/shaolin/npc/monk3.c
杀『枯梅大师』【master kumei】exp=3M, @/d/huashan/npc/kumeimaster.c
杀『苦瓜大师』【kugua dashi】exp=100K, @/d/baiyun/npc/kugua.c
杀『苦力』【kuliman】exp=1K, @/d/fy/npc/kuliman.c
杀『苦庵上人』【ku an】exp=3M, @/d/huashan/npc/kuan.c
杀『快活王』【master chai】exp=20M, @/d/loulan/npc/chai.c
杀『狂嫖客』【piaoke】exp=50K, @/d/qianjin/npc/dapiaoke.c
杀『奎木狼』【killer u】exp=1M, @/d/cave/npc/killer_u.c
杀『奎元馆伙计』【huoji】exp=5K, @/d/fugui/npc/huoji.c
杀『蓝胡子』【lan】exp=100K, @/d/yingou/npc/blue.c
杀『蓝兰』【lan lan】exp=2M, @/d/wolfmount/npc/lanlan.c
杀『蓝天锤』【master lan】exp=2M, @/d/palace/npc/master2.c
杀『蓝阳光』【sunshine】exp=3M, @/d/guanwai/npc/sunshine.c
杀『蓝一尘』【master yichen】exp=10M, @/d/libie/npc/master.c
杀『蓝衣大汉』【blue cloth man】exp=4M, @/d/taiping/npc/blueman.c
杀『蓝衣宫女』【blue lady】exp=4M, @/d/tieflag/npc/b_girl.c
杀『蓝衣家丁』【guard】exp=3K, @/d/chuenyu/npc/jiading2.c
杀『蓝衣少女』【blue girl】exp=500K, @/d/tieflag/npc/blugirl.c
杀『兰儿』【laner】exp=5K, @/d/qingping/npc/laner.c
杀『郎中』【lang zhong】exp=50K, @/d/huashan/npc/yao.c
杀『浪游诗人』【shiren】exp=50K, @/d/fy/npc/shiren.c
杀『老板娘』【boss】exp<1K, @/d/fy/npc/mianhua.c
杀『老裁缝』【waiter】exp<1K, @/d/fy/npc/caifeng.c
杀『老大』【laoda】exp=3M, @/d/taiping/npc/killer.c
杀『老刀把子』【master lao dao】exp=10M, @/d/ghost/npc/master.c
杀『老道士』【old taoist】exp=400K, @/d/taoguan/npc/o_taoist.c
杀『老妇人』【old woman】exp<1K, @/d/wudang/npc/oldwoman.c
杀『老汉』【laohan】exp<1K, @/d/qianjin/npc/laohan.c
杀『老和尚』【old monk】exp=100K, @/d/chenxiang/npc/omonk.c
杀『老狐狸』【old fox】exp=150K, @/d/baiyun/npc/oldfox.c
杀『老花匠』【old gardener】exp=2M, @/d/palace/npc/huatong.c
杀『老蛔虫』【oldworm】exp=8M, @/d/taiping/npc/oldworm.c
杀『老家人』【lao jiaren】exp=2M, @/d/zangbei/npc/jiaren.c
杀『老僵尸』【zombie】exp=5M, @/d/biancheng/npc/zombie4.c
杀『老老妇人』【old woman】exp=4M, @/d/palace/npc/laofuren.c
杀『老老和尚』【old monk】exp=5M, @/d/shaolin/npc/laomonk.c
杀『老妈子』【maid】exp=250K, @/d/taiping/npc/maid.c
杀『老农』【old farmer】, @/d/wudang/npc/farmer.c
杀『老奴』【lao nu】exp=5M, @/d/yinghe/npc/laonu.c
杀『老皮』【laopi】exp=50K, @/d/wolfmount/npc/laopi.c
杀『老婆子』【old boater】exp=111K, @/d/tieflag/npc/boater.c
杀『老乞丐』【old beggar】exp<1K, @/d/fy/npc/beggar.c
杀『老僧』【shaolin monk】exp=4M, @/d/shaolin/npc/monk20c.c
杀『老山东』【old shandong】exp=540K, @/d/bawang/npc/oldshan.c
杀『老山羊』【oldman】exp=100K, @/d/laowu/npc/laoshan.c
杀『老实和尚』【lao shi】exp=100K, @/d/qianfo/npc/laoshi.c
杀『老土地』【tudi】exp=24M, @/d/fy/npc/know_all.c
杀『老屋人』【laowuren】exp=5K, @/d/laowu/npc/guan.c
杀『老于头』【old yu】exp=10K, @/d/libie/npc/oldyu.c
杀『老渔夫』【old fishman】exp=3M, @/d/taiping/npc/oldfishman.c
杀『老张』【guard】exp=200K, @/d/resort/npc/guard.c
杀『老张头』【old zhang】exp=10K, @/d/libie/npc/oldzhang.c
杀『老掌柜』【old zhanggui】exp=500K, @/d/baiyun/npc/boatowner.c
杀『老者』【old man】, @/d/wudang/npc/oldman.c
杀『乐乐山』【leleshan】exp=6M, @/d/biancheng/npc/leleshan.c
杀『雷一鸣』【master lei】exp=5M, @/d/fy/npc/master1.c
杀『冷春花』【chun hua】exp=50M, @/d/jinan/npc/chunhua.c
杀『冷冬梅』【dong mei】exp=50M, @/d/jinan/npc/dongmei.c
杀『冷红儿』【lenghong】exp=500K, @/d/laowu/npc/leng.c
杀『冷青萍』【leng qingping】exp=1M, @/d/taishan/npc/lengqingping.c
杀『冷青霜』【leng qingshuang】exp=2M, @/d/taishan/npc/lengqingshuang.c
杀『冷卿元』【leng qingyuan】exp=5M, @/d/yinghe/npc/water_guard.c
杀『冷秋魂』【leng qiuhun】exp=50K, @/d/jinan/npc/hun.c
杀『冷秋雨』【qiu yu】exp=50M, @/d/jinan/npc/qiuyu.c
杀『冷若霜』【leng】exp=100K, @/d/yingou/npc/leng.c
杀『冷夏丽』【xia li】exp=50M, @/d/jinan/npc/xiali.c
杀『冷血刺客』【hitman】exp=1M, @/d/wanmei/npc/ass.c
杀『李豹』【lee】exp=100K, @/d/xinjiang/npc/saltboss.c
杀『李长慎』【li】exp=70K, @/d/wudang/npc/taoist4.c
杀『李大娘』【li daniang】exp=10M, @/d/taiping/npc/daniang.c
杀『李大嘴』【dazui】exp=500K, @/d/taishan/npc/dazui.c
杀『李风』【li】exp=100K, @/d/chenxiang/npc/gaibang2.c
杀『李红袍』【master hongpao】exp=15M, @/d/guanwai/npc/master1.c
杀『李红袖』【li hongxiu】exp=50K, @/d/bat/npc/lihong.c
杀『李红樱』【hongying】exp=4M, @/d/huangshan/npc/hong.c
杀『李马虎』【li mahu】exp=1M, @/d/biancheng/npc/limahu.c
杀『李木匠』【carpenter li】exp=2M, @/d/taiping/npc/carpenter.c
杀『李赛钢』【lee】exp=35K, @/d/daimiao/npc/gang3.c
杀『李神童』【li】exp=100K, @/d/laowu/npc/li.c
杀『李霞』【lixia】exp<1K, @/d/laowu/npc/lixia.c
杀『李寻欢』【master li】exp=10M, @/d/fy/npc/lixunhuan.c
杀『李一摸』【yimo】exp=5K, @/d/laowu/npc/pettrainer3.c
杀『李义骑』【li yiqi】exp=680K, @/d/loulan/npc/guard3.c
杀『李玉函』【master li】exp=6M, @/d/huangshan/npc/mas1.c
杀『李掌柜』【li】exp=70K, @/d/chenxiang/npc/xb.c
杀『李治华』【li zhihua】exp=1M, @/d/wudang/npc/li1.c
杀『李萼华』【li ehua】exp=1M, @/d/wudang/npc/li2.c
杀『李镖头』【biao tou】exp=100K, @/d/fy/npc/biaotou.c
杀『厉青锋』【li qingfeng】exp=1M, @/d/huangshan/npc/shui.c
杀『厉鹗』【li e】exp=3M, @/d/huashan/npc/lie.c
杀『力士』【lishi】exp=6K, @/d/qianfo/npc/lishi.c
杀『莲儿』【lianer】exp=5K, @/d/taoyuan/npc/singgirl.c
杀『莲风儿』【fenger】exp=1K, @/d/shaolin/npc/girlfi.c
杀『莲蓉』【lianrong】exp=200K, @/d/shaolin/npc/zauron.c
杀『莲云儿』【yuner】exp=1K, @/d/shaolin/npc/girlfy.c
杀『连城璧』【lian】exp=10M, @/d/taishan/npc/lian.c
杀『连晴然』【lian qingran】exp=3M, @/d/yinghe/npc/wa_guard6.c
杀『良家妇女』【funu】, @/d/qianjin/npc/funu.c
杀『了因师太』【liaoyin】exp=10M, @/d/eren/npc/liaoyin.c
杀『廖老八』【west com】exp=10K, @/d/jinan/npc/west.c
杀『烈火孽龙』【dragon lord】exp=2M, @/d/zhaoze/npc/dragon.c
杀『猎人』【hunter】exp=20K, @/d/huashan/npc/hunter.c
杀『林道人』【taoist lin】exp=550K, @/d/taoguan/npc/lin.c
杀『林二』【lin er】exp=6M, @/d/taiping/npc/liner.c
杀『林灵娟』【lin lingjuan】exp=3M, @/d/yinghe/npc/wa_guard2.c
杀『林瘦鹃』【lin shoujuan】exp=3M, @/d/chenxiang/npc/linshouou.c
杀『林太平』【lin taiping】exp=4M, @/d/fugui/npc/lin.c
杀『林仙儿』【linxian】exp=100K, @/d/qianjin/npc/lin.c
杀『刘老农』【liu】exp=10K, @/d/chuenyu/npc/oldliu.c
杀『流氓』【wander】exp=5K, @/d/fy/npc/wander.c
杀『柳东来』【liu donglai】exp=6M, @/d/eren/npc/liudonglai.c
杀『柳风骨』【liu fenggu】exp=5M, @/d/shanliu/npc/liu.c
杀『柳夫人』【mrs liu】exp=1K, @/d/taishan/npc/liu2.c
杀『柳金莲』【liu jinlian】exp=1M, @/d/wolfmount/npc/bigfoot.c
杀『柳若松』【mr liu】exp=10K, @/d/taishan/npc/liu1.c
杀『柳三郎』【liu sanlang】exp=600K, @/d/wolfmount/npc/sanlang.c
杀『柳土獐』【killer b】exp=1M, @/d/cave/npc/killer_b.c
杀『柳无眉』【master liu】exp=6M, @/d/huangshan/npc/mas2.c
杀『柳余恨』【liu yuhen】exp=40M, @/d/shanxi/npc/liuyuhen.c
杀『柳幺妹』【liu yaomei】exp=600K, @/d/wolfmount/npc/yaomei.c
杀『龙小云』【xiaoyun】exp<1K, @/d/fy/npc/lson.c
杀『娄金狗』【killer v】exp=1M, @/d/cave/npc/killer_v.c
杀『卢定关』【master lu】exp=1M, @/d/chenxiang/npc/governor.c
杀『陆漫天』【lu mantian】exp=8M, @/d/zangbei/npc/lumantian.c
杀『陆五川』【wuchuan】exp=3K, @/d/qingping/npc/lu.c
杀『陆小凤』【lu】exp=3M, @/d/wanmei/npc/luxiaofeng.c
杀『吕恭』【waiter】exp<1K, @/d/guanwai/npc/waiter.c
杀『吕素文』【lu suwen】exp<1K, @/d/libie/npc/lusuwen.c
杀『律香川』【lv xiangchun】exp=8M, @/d/zangbei/npc/lv.c
杀『绿毛小乌龟』【green turtle】, @/d/huangshan/npc/turtle.c
杀『绿衣少女』【green girl】exp=500K, @/d/tieflag/npc/grngirl.c
杀『绿珠』【greenpearl】exp=1M, @/d/death/npc/greengirl.c
杀『罗达成』【luo】exp<1K, @/d/guanwai/npc/yujiang.c
杀『裸体男人』【naked man】exp=200K,风云 @/d/fy/npc/troublemaker.c
杀『裸体女人』【naked girl】exp=1K, @/d/fy/npc/xianu.c
杀『落魄老者』【oldman】exp=500K, @/d/fugui/npc/oldman.c
杀『麻锋』【ma feng】exp=1M, @/d/cave/npc/mafeng.c
杀『麻雀』【bird】武当、新疆 @/d/wudang/npc/bird.c
杀『蚂蚁』【ant】, @/d/chuenyu/npc/ant.c
杀『马鞭』【ma bian】exp=1M, @/d/cave/npc/mabian.c
杀『马车夫』【chefu】exp=100K, @/d/biancheng/npc/chefu.c
杀『马芳玲』【ma fangling】exp=1M, @/d/biancheng/npc/mafangling.C
杀『马方中』【ma fangzhong】exp=8M, @/d/zangbei/npc/mafangzhong.c
杀『马夫』【labor】exp=1M, @/d/taiping/npc/labor.c
杀『马回回』【ma huihui】exp=1M, @/d/biancheng/npc/mahuihui.c
杀『马空群』【ma kongqun】exp=50M, @/d/biancheng/npc/makongqun.c
杀『马老四』【max】exp<1K, @/d/death/npc/waiter.c
杀『马鲁』【xintu】exp=10K, @/d/guanwai/npc/xintu2.c
杀『马面』【mamian】exp=10K, @/d/death/npc/mamian.c
杀『马十』【ma shi】exp=2M, @/d/biancheng/npc/vguard4.c
杀『马十二』【ma shier】exp=3M, @/d/biancheng/npc/vguard3.c
杀『马十一』【ma shiyi】exp=4M, @/d/biancheng/npc/vguard2.c
杀『马小宝』【ma xiaobao】exp=50K, @/d/zangbei/npc/ma1.c
杀『马小贝』【ma xiaobei】exp=50K, @/d/zangbei/npc/ma2.c
杀『马行空』【ma xingkong】exp=5M, @/d/shanxi/npc/maxingkong.C
杀『马秀真』【ma xiuzhen】exp=100K, @/d/baiyun/npc/xiu1.c
杀『马月云』【ma yueyun】exp=500K, @/d/zangbei/npc/mayueyun.c
杀『马贼』【bandit】exp=1M, @/d/eren/npc/bandit.c
杀『马贼首领』【bandit leader】exp=4M, @/d/eren/npc/banditleader.c
杀『买买提』【waiter】exp<1K, @/d/xinjiang/npc/huwaiter.c
杀『买鱼的小姑娘』【fishbuyer】exp<1K, @/d/chenxiang/npc/fishbuyer.c
杀『麦老广』【mai laoguang】exp=1M, @/d/fugui/npc/mai.c
杀『卖菜的』【caifan】exp<1K, @/d/fy/npc/caifan.c
杀『卖菜的小贩』【waiter】exp=2M, @/d/shanxi/npc/xiaofan2.c
杀『卖地毯的』【ditan seller】exp=2K, @/d/xinjiang/npc/swaiter10.c
杀『卖哈密瓜的』【gua seller】exp=2K, @/d/xinjiang/npc/swaiter4.c
杀『卖花姑娘』【flower seller】exp=1K, @/d/chuenyu/npc/flowerseller.c
杀『卖花帽的』【mao seller】exp=2K, @/d/xinjiang/npc/swaiter8.c
杀『卖戒指的』【ring seller】exp=2K, @/d/xinjiang/npc/swaiter11.c
杀『卖烤包子的』【bao seller】exp=1K, @/d/xinjiang/npc/swaiter2.c
杀『卖库车白杏的』【xing seller】exp=2K, @/d/xinjiang/npc/swaiter6.c
杀『卖面的老头子』【lao zhang】exp<1K, @/d/huashan/npc/seller1.c
杀『卖面的年青人』【youngman】exp=5K, @/d/chenxiang/npc/youngman.c
杀『卖葡萄干的』【putao seller】exp=2K, @/d/xinjiang/npc/swaiter5.c
杀『卖肉包子的小贩』【waiter】exp=2M, @/d/shanxi/npc/xiaofan.C
杀『卖玩具的』【wanfan】exp<1K, @/d/fy/npc/wanfan.c
杀『卖小刀的』【dao seller】exp=2K, @/d/xinjiang/npc/swaiter7.c
杀『卖羊肉串的』【meat seller】exp<1K, @/d/xinjiang/npc/swaiter1.c
杀『卖药的』【medseller】exp<1K, @/d/fy/npc/drugseller.c
杀『卖鱼的』【fishseller】exp<1K, @/d/chenxiang/npc/fishseller.c
杀『卖抓饭的』【fan seller】exp=2K, @/d/xinjiang/npc/swaiter3.c
